Chapter,Policy,Description
"Supporting A Thriving Local Economy","Policy EMP2: Employment Land and Premises","Policy EMP2:  Employment Land and Premises (B-Use Classes) (Use Classes E(g), B2 and B8)

1. Strategic Employment Areas

The Strategic Employment areas identified on the Policies Map and listed in the supporting text below will be protected for employment generating uses within the Use Classes E(g) B2 and B8.

Proposals for new employment floorspace within Strategic Employment Areas will be supported. Proposals should be suitable to the location and not harm the operation of neighbouring businesses.

The change of use or redevelopment of land and buildings within the Strategic Employment Areas for non-employment uses will only be permitted where it can be demonstrated that:

The building is vacant and has been actively marketed for employment uses at a reasonable rate for at least 12 months (immediately prior to the submission of the application); and
It can be demonstrated through a Viability Appraisal that the site cannot be viably regenerated/redeveloped for employment uses.
2. Other sites in employment use within Settlement Policy Boundaries

The change of use or redevelopment of land and buildings in employment use within the defined settlement policy boundaries will be permitted where it can be demonstrated that:

The building is vacant and has been actively marketed for employment uses at a reasonable rate for at least 12 months (immediately prior to the submission of the application); and
It can be demonstrated through a Viability Appraisal that the site cannot be viably regenerated/redeveloped for employment uses; or
The site is not appropriate for the continuation of its present or any employment use due to a significant detriment to the environment or amenity of the area.
Other employment sites may be identified through the neighbourhood planning process."
"Supporting A Thriving Local Economy","Policy EMP3: Town, District and Local Centres","Policy EMP3:  Town, District and Local Centres

Main town centre uses (such as retail, office, entertainment and leisure) will be permitted within the defined town, district and local centres provided that they are designed at a scale and character which reflects the role, function and distinctive qualities of the centre. Any development that would harm the vitality and viability of a defined centre will not be permitted.

The hierarchy of centres is:

Town Centre

Basingstoke
 

District Centres

Brighton Hill

Chineham

Overton

Tadley

Whitchurch
 

Local Centres

Kingsclere
 

New local and district centres may also come forward as part of larger developments set out in Policy SPS5 where they are suitable in scale to the level of growth proposed and where their scale would not have a significant adverse impact upon the vitality and viability of existing centres or on any committed, planned or proposed public or private investment in existing centres.

Development, including extensions to existing facilities, for main town centre uses outside of the defined centres which are not in accordance with an up-to-date plan will only be permitted if, in accordance with the sequential test, it could be demonstrated that the development could not be accommodated firstly within a suitable and available centre, or then within an edge of centre location having demonstrated appropriate flexibility in the format and scale of development proposed. In addition to the small-scale rural uses exempted by national policy, proposals for small-scale retail and leisure uses (including those in Use Class F2) that meet the day-to-day needs of local people will not be required to apply the sequential test.

Where not in accordance with an up-to-date plan, development for retail and leisure uses, with a net usable sales floorspace exceeding 250sqm, in edge or out of centre locations will be permitted if, following an Impact Assessment, it would not have a significant adverse impact upon the vitality and viability of existing centres and on any committed, planned or proposed public or private investment in existing centres."
"Supporting A Thriving Local Economy","Policy EMP4: Rural Economy","Policy EMP4:  Rural Economy

To support a prosperous rural economy, development proposals for economic uses in the countryside will be permitted where they:

Support the sustainable growth and expansion of all types of business through the conversion of existing buildings and, where there are no suitable existing buildings, through the provision of well-designed new buildings;
Support the development and diversification of agricultural and other land-based rural businesses including those important to the local rural economy such as equestrian and fishing;
Where suitable opportunities exist, prioritise previously developed land and sites that are physically well-related to existing settlements;
Are predicated on clean growth principles and meet the Plan’s climate change policies in order to support the council’s climate emergency declaration.
Are for a use and at a scale that is appropriate to the site and its setting and avoid adverse impacts on the landscape, heritage, environment and biodiversity.
The access to the site should be safe and development should not result in an adverse impact on the local highway network taking into account the type of traffic generated and the appropriateness of the rural roads and the impact on their character and appearance. Development proposals that result in an increase in HGVs on C and U class roads, or a significant increase in other traffic on C and U class roads will generally not be permitted.
The change of use or redevelopment of land and buildings in employment use (class E(g), B2 and B8) in non-isolated locations within the countryside for non employment uses will only be permitted where it can be demonstrated that:

The building is vacant and has been actively marketed for employment uses at a reasonable rate for at least 12 months (immediately prior to the submission of the application); and
It can be demonstrated through a viability appraisal that the site cannot be viably regenerated / redeveloped for employment uses.
Alternatively, development proposals will be supported where it is demonstrated that the site is not appropriate for the continuation of its present or any employment use due to a significant detriment to the environment or amenity of the area."
"Supporting A Thriving Local Economy","Policy EMP5: Rural Tourism","Policy EMP5:  Rural Tourism

Proposals for sustainable tourism development which respect the character of the countryside (including guest accommodation and visitor facilities) will be permitted where:

It utilises an existing suitable building through change of use or conversion without the need for substantial rebuilding, extension or alteration; or
In the case of a new building, it forms part of an existing facility or cluster of permanent buildings and is of a scale appropriate to its location especially where it could have visual or other unacceptable adverse impacts on the National Landscape, chalk streams, heritage or the character and appearance of the area; New buildings which do not consolidate existing facilities or clusters of permanent buildings will require a robust justification, which demonstrates a need for the new building and that there are not existing buildings available which could meet the requirements of the proposed development in a practical and viable manner;
In the case of extensions to existing buildings, these are sympathetic to the existing building and character of the area; and
In all cases the scale of development is appropriate when considering the impacts on the local highway network and is accessible by sustainable and active means of travel wherever possible, linking to existing footpaths, cycleways and public transport networks.
Proposals for new or expanded existing camping (including glamping) and touring caravan sites will be permitted where the proposals are sympathetic to the character and visual quality of the area particularly where impacts on the National Landscape, chalk streams and heritage are concerned and any unacceptable impacts can be successfully mitigated."
"Creating Sustainable and Infrastructure-Rich Communities","Policy INF1: Infrastructure","Policy INF1:  Infrastructure

Developers and landowners must work constructively with the council, infrastructure providers/operators and existing communities throughout the planning process, to identify and address the infrastructure needs arising from the proposal (including the cumulative effects of nearby sites) to ensure that the right infrastructure is provided at the right location and time to make the development acceptable in planning terms. The provision of suitable infrastructure will support the creation of sustainable communities in line with the council’s climate emergency and ecological emergency declarations.

New development must ensure that sufficient infrastructure is in place to support it. Development will be required to set out the infrastructure needed, where and when this will be delivered, and to provide and contribute towards the provision of additional services, facilities and infrastructure to serve future occupiers and users at a rate, scale and pace to meet the needs and requirements that are expected to arise from that development.

Development proposals will be permitted where the developer has clearly demonstrated in agreement with the relevant infrastructure providers/operators (including suitable delivery, future management and maintenance arrangements) that infrastructure can be provided and phased (if necessary) to support the infrastructure requirements of the proposed development, including that identified in paragraph 6 below (as appropriate). This includes mitigating any adverse impacts on existing communities, infrastructure networks, services and facilities. Infrastructure provision or improvements should be provided on-site as an integral part of a development. Site specific mitigation measures will be secured by planning obligations.

Where off-site measures are proposed they should meet identified needs, and the Community Infrastructure Levy (CIL) or its successor will be the primary mechanism to secure the necessary financial or equivalent contribution from development.

New and improved infrastructure should be provided prior to occupation of the development, or in larger schemes, prior to the occupation of the phase of the development for which it is needed to serve the occupants and users of the development. This will be secured by appropriate planning conditions, s.106 planning obligations including bonds and the council’s procedures with respect to the use of CIL revenue.

To ensure that infrastructure is provided on a comprehensive basis and taking into account the cumulative effect of new homes on services and facilities, the council will resist proposals that bring forward piecemeal development of individual plots of single dwellings as components of a larger site.

The requirements for strategic and local infrastructure are set out in the council’s Infrastructure Delivery Plan (IDP), and Supplementary Planning Documents. This will also include development briefs, codes and masterplans associated with allocated sites. A summary of green space, sport and recreation standards applied on development are set out in Appendix 2."
"Creating Sustainable and Infrastructure-Rich Communities","Policy INF2: Transport","Policy INF2:  Transport

Recognising the council’s declared Climate Emergency, the council will work in partnership to promote a safe, efficient and convenient transport system which will:

Build on the borough’s strategic location, through improvements to strategic road and rail connections to the wider area;
Promote transport choice, through improvements to public transport services and supporting infrastructure, including the introduction of a high-quality network of routes, and providing coherent and direct walking and cycling networks with off-road facilities to provide a genuine alternative to the car and support a modal shift;
Improve access to Basingstoke town centre, including the bus and railway station, and other key destinations such as areas of employment and healthcare facilities including the hospital;
Manage congestion and provide for consistent journey times; and
Promote and improve safety, security and healthy lifestyles.
Development should seek to minimise the need to travel and maximise opportunities for sustainable transport modes, to minimise the transport impacts arising from the development, improve accessibility to facilities and services, and support the transition to a low carbon future.

Development proposals will be permitted that:

Place pedestrians, cyclists and public transport at the heart of the development, prioritising their movement according to the Sustainable Transport Hierarchy;
Prioritise travel by sustainable transport modes, including maximising opportunities for Active Travel (walking and cycling) and public transport use;
Integrate into existing movement networks;
Provide safe, suitable and convenient access for all potential users;
Provide an on-site movement layout compatible for all potential users with appropriate parking and servicing provision, including electric vehicle charging infrastructure and car clubs;
Support changing transport technology and usage; and
Do not result in inappropriate traffic generation or compromise highway safety.
Development proposals that generate significant amounts of movement must be supported by a Travel Plan to deliver sustainable transport objectives and a Transport Assessment or a Transport Statement to address the transport impacts of the development.

Development must be of high quality, sustainable in design, construction and layout, offering maximum flexibility in the choice of sustainable transport modes, including Active Travel (walking and cycling), and with accessibility for all potential users.

Development will be permitted where it:

Does not have a severe impact on the operation, safety or accessibility to the local or strategic highway networks;
Mitigates impacts on the local or strategic highway networks, arising from the development itself or the cumulative effects of development, through the provision of, or contributions towards, necessary and relevant transport improvements, including those secured by legal agreements or through the Community Infrastructure Levy or its successor;
Provides safe, secure and high quality pedestrian and cycle connections to local facilities and services and, where possible, strategic cycling routes including those identified within the Basingstoke & Deane Local Cycling and Walking Infrastructure Plan together with facilities to encourage public transport use;
Protects and enhance access to public rights of way;
Provides appropriate parking provision in terms of amount, design and layout, in accordance with the adopted Parking Standards and contributes to making high quality places;
Provides measures to reduce the need to travel, whilst also encouraging sustainable modes of travel, to minimise the transport impacts arising from the development;
Provides appropriate waste and recycling storage areas and accessible collection points for refuse vehicles, in accordance with the Design and Sustainability SPD;
Provides for the use of electric vehicles together with safe, accessible and convenient charging facilities; and
Ensures that all development proposals provide a co-ordinated and comprehensive scheme that does not prejudice the future development or design of suitable adjoining sites.
For development proposals that generate significant amounts of movement, it is important to establish sustainable travel patterns that minimise the need to travel from the outset of development, to minimise the transport impacts arising from the development. Agreement should be reached with the council and Hampshire County Council on proposed public transport enhancements to provide certainty for future residents and to assist in developing and financing a well-defined and comprehensive network, in partnership with public transport operators."
"Creating Sustainable and Infrastructure-Rich Communities","Policy INF3: New and Improved Facilities","Policy INF3:  New and Improved Facilities

Development proposals for new community facilities within settlements will be supported. As an exception, the provision of new community facilities will be supported outside of, but in close proximity to, settlements provided it can be shown that:

There are no suitable sites available within the settlement which could be used.
The proposal is well related to the nearest settlement, including with regard to issues such as scale, impact on landscape character and the historic environment;
The proposal meets an identified local need; and
The site is accessible via sustainable modes of transport.
Proposals for development provided as part of housing/mixed-use allocations within the Local Plan and also for other large-scale housing/mixed-use developments, will need to:

Retain existing community facilities which are valued by the community and not result in an adverse impact to existing facilities in the local area;
Provide new community facilities, in accordance with adopted council standards within the developable area of the site, where the needs of the new development cannot be met by existing provision;
Ensure that new community facilities are delivered to prescribed timescales and in a manner which ensures they can be viably delivered and operated; and
Ensure that new community facilities are informed by a thorough understanding of the community needs and that the premises provided will meet that need.
Where opportunities exist, the council will support the co-location of community facilities and services. Where this is proposed, it will be necessary to ensure that all of the services are able to fulfil their functions and operate effectively.

The extension, expansion and/or enhancement of existing facilities will be supported, provided the proposal is well related to the existing facility and the surrounding area in terms of design, scale and layout."
"Creating Sustainable and Infrastructure-Rich Communities","Policy INF4: Protecting Existing Facilities","Policy INF4:  Protecting Existing Community Facilities

Proposals that would result in the loss of community facilities (including sites last used for such activities) will only be permitted if it is demonstrated that:

The facility is no longer needed; or
It is demonstrated that it is no longer viable; and
If either of the criteria above are satisfied, the premises have been actively marketed for at least 12 months and no reasonable offers have been made; and
If there is a community service still operating from the premises in question then it must be demonstrated that they have suitable alternative premises available to them, which can be occupied within a reasonable timescale and which will meet their operational needs.
The loss of community facilities will also be permitted where it can be demonstrated that the development would provide sufficient community benefit to outweigh the loss of the existing community facility or service.

Development proposals in close proximity to existing community facilities which could have a detrimental impact upon the operation of that facility will only be permitted where it can be demonstrated that the development is necessary to ensure the retention of the facility (if it is being provided in order to help support that facility) and that it will not be likely to lead to the potential loss of that facility.

The council will work proactively with local communities and support proposals to retain, improve, or re-use community facilities and services, including those set out in Neighbourhood Plans or Orders, including Community Right to Build Orders along with appropriate supporting development which may make such provision economically viable."
"Providing Homes for All","Policy HSG1: New Housing in the Countryside","Policy HSG1:  New Housing in the Countryside

Development proposals for new housing outside of Settlement Policy Boundaries must meet the Plan’s climate change policies to support the council’s climate emergency declaration, and will only be permitted where they are:

1. On ‘previously developed land’, provided that:

They do not result in an isolated form of development; and
The proposed use and scale of development is appropriate to the site’s context and does not cause unacceptable levels of harm in relation to landscape, heritage, ecological impacts or transport or
2.  For a rural exception site for affordable housing or a first homes exceptions site (where permitted by Policy HSG3); specialist housing (where permitted by Policy HSG6); or a single plot exception site for custom and self-build housing (where permitted by Policy HSG4); or

For the re-use of a redundant or disused permanent building provided that the proposal:

Involves a building that is structurally sound and does not require substantial rebuilding, extension or alteration;
Respects and retains the character, fabric and distinctive features of the building, where such features are considered beneficial to retain; and
Does not result in the requirement for another building to fulfil the function of the building being converted; and
It leads to an enhancement to the immediate setting; and
Demonstrates that it minimises carbon emissions in accordance with the energy hierarchy set out in Policy ENV11; or
4. For a replacement dwelling that is not temporary in nature provided that:

The size of the proposal would be appropriate to the plot; and
It would not be visually intrusive in the landscape or harm the character and local distinctiveness of the rural area; or
5. Proposals for four net dwellings or fewer that provide dwellings of a number, size and type that meet an unmet need in the local area  provided that:

The need is clearly evidenced and locally agreed;
The site It is well related to the existing settlement and the local area where the need is arising and would not result in an isolated form of development; and
The development will respect the qualities of the local landscape and be sympathetic to its character and visual quality; and
The development will respect and relate to the character, form and appearance of surrounding development, and respect the amenities of the residents of neighbouring properties; or
6. For a new dwelling linked to an existing and viable agricultural, forestry, horse breeding and training, livery or equivalent rural business, where it can be shown that:

There is an essential need for the occupant to be on site at any time during any 24 hour period; and
No alternative suitable accommodation is available in the locality; and
The rural business linked to the proposed new building must have been viable for the previous three years; or
7. Allocated for development in a Neighbourhood Plan which has been ‘made’ by Basingstoke and Deane Borough Council.

8. For the sub-division of an existing building provided that:

There would be no adverse impact upon the character or appearance of the area."
"Providing Homes for All","Policy HSG2: Affordable Housing","Policy HSG2:  Affordable Housing

The council will require at least 40% affordable housing on:

Sites where 10 or more homes will be provided, or the site has an area of 0.5ha or more; and
All sites delivering net new dwellings in the North Wessex Downs National Landscape.
On-site provision will be required on qualifying developments of five or more net new dwellings. Only in exceptional circumstances will off-site provision or financial contributions of equivalent value be accepted. Qualifying developments of less than five net new dwellings will be required to pay financial contributions of equivalent value towards the provision of affordable housing in the borough.

The tenure split of affordable homes will be 60% social rented and 40% intermediate products, which shall include at least 25% First Homes discounted from average market values by a minimum of 30%, so long as this is required by the government.

On individual sites, the type and size of affordable homes will be appropriate to the character of the area and the overall development and have regard to the type of need shown on the council’s housing registers, as well as the stock and turnover of existing properties."
"Providing Homes for All","Policy HSG3: Rural Exception Sites and First Home Rural Exception Sites","Policy HSG3:  Rural Exception Sites and First Homes Exception Sites

Residential development designed to meet the identified housing needs of local people unable to meet their own needs in the housing market will be permitted outside Settlement Policy Boundaries on Rural Exception Sites and First Homes Exception Sites. The homes must meet the Plan’s climate change policies to support the council’s climate emergency and ecological emergency declarations.

Rural exception sites will be permitted where:

The site is adjacent or well related to an existing settlement, and capable of being well integrated into the existing community;
The scale and tenure of development will be based on proven local need;
The development will be small scale and in proportion with and respect the character, form and appearance of the immediate vicinity and surrounding area; and  
The affordable housing will be retained in perpetuity.
As long as they are supported by the government, First Homes exception sites will be permitted where:

The affordable homes would be First Homes. A small proportion of other affordable tenures may be provided if it can be demonstrated that significant local need exists;
The site is adjacent to an existing settlement and capable of being well integrated into the existing community;
The development will respect the character, form and appearance of the immediate vicinity and surrounding area;
The development would be proportionate to the size of the existing settlement. The determination of ‘proportionate’ will have regard to the form of the settlement, the established pattern of development and the sensitivity of the landscape and any heritage assets.
There is a proven need for First Homes, that is not already being met or being planned to be met elsewhere in the borough; and
The site is not within the North Wessex Downs National Landscape.
Subject to local housing priority, local circumstances, viability and market conditions, a proportion of market housing will be permitted on Rural Exception Sites and First Homes Exception Sites. In such cases, the affordable element of the development should always comprise the greater proportion of units in comparison to the market units proposed. The council will only permit the minimum number of market homes required to deliver the scheme. Where market homes are provided, their size/type should meet a clearly identified local need.

The developer will be required to submit an open book viability assessment for proposals which include a proportion of market housing on viability grounds. This will need to demonstrate that the proposed number of market dwellings is essential for the successful delivery of the development and is based on reasonable land values as an exception site. In such cases the council will commission an independent review of the viability study, for which the developer will bear the cost.

Affordable Homes for discounted market sale will also be permitted on Single Plot Exception Sites as set out in Policy HSG4."
"Providing Homes for All","Policy HSG4: Single Plot Rural Exception Sites for Self and Custom Build Housing","Policy HSG4:  Single Plot Rural Exception Sites for Custom and Self-build Housing

Planning permission will be granted for single custom and self-build dwellings in locations within and adjoining small villages and other rural settlements (not including settlements in Categories 1-3) where the following criteria are met:

Eligibility and local connection

The applicant can demonstrate to the satisfaction of the council that they are in housing need and are unable to identify or afford a suitable alternative home currently available for sale on the open market within the parish or within 5km of the proposed site (excluding within any settlements in categories 1-3).
The applicant has a strong and evidenced local connection to the settlement.
Location

The site is part of or adjacent to a recognisable settlement and does not constitute sporadic or isolated development.
Size

The dwelling size will not exceed 105 square metre gross internal floor space or occupy a plot of more than 0.1ha. Permitted development rights will be removed to ensure the property remains affordable.
Affordable housing in perpetuity

The dwelling is affordable to the applicant. To ensure community benefit going forward, the dwelling must remain affordable in perpetuity, discounted from open market value by at least 30%.
Design

The dwelling must be designed to the high environmental standards set out in Plan’s climate change policies in order to minimise its energy and resource use and support the council’s climate emergency and ecological emergency declarations.
Development must be in keeping with the character, form and appearance of the immediate vicinity and surrounding area."
"Providing Homes for All","Policy HSG5: Housing Mix","Policy HSG5:  Housing Mix for Market Housing

Development will be permitted where the mix of market housing:

Includes a range of house type and size (including for older people, bungalows and suitable accommodation for downsizing with small gardens or outdoor space, and for those wishing to build their own homes) to address local requirements taking into account the most up to date evidence on housing need; and
Is appropriate to the size, location and characteristics of the site; and
Is appropriate to the established character and density of the neighbourhood.
Proposals will be required to provide evidence, proportionate to the scale of development proposed, to justify the mix of housing proposed."
"Providing Homes for All","Policy HSG6: Specialised Accommodation for Older People and those with Specialised Needs","Policy HSG6:  Specialist Accommodation for Older People and those with Specialised Needs

Specialist housing and accommodation for older people and people with specialised needs will be provided on strategic sites, as identified in Policy SPS3.

Proposals for all types of specialist accommodation to meet the needs of older people and people with specialised needs will be permitted within settlement policy boundaries where the location:

Is well integrated with the local community; and
Is appropriate in terms of access to facilities, services and public transport, taking into account the nature of the accommodation and the needs of its occupiers, staff and visitors.
Care uses will also be exceptionally permitted adjacent to settlements where:

They fall within Use Class C2 (including nursing and residential care) or include a mix of C2 and C3 accommodation but are predominantly Use Class C2; or are wholly affordable housing accommodation (Use Class C3) that would provide on-site care regulated by the Care Quality Commission; and
There is a proven unmet need for accommodation of that type in that local area; and
It can be demonstrated that there are no more suitable and deliverable sites within settlement policy boundaries in the area within which the need arises; and
The massing and scale of the built form is appropriate to the site’s location, taking into account local character and the sensitivity of the landscape.
All proposals will be designed to reflect best practice and take into account the needs of the end user. Where proposals would provide apartments or flats, they shall provide a satisfactory standard of communal areas and private open spaces, such as balconies, for occupants.

The council will require affordable housing on all developments that provide dwellings in accordance with Policy HSG2 (Affordable Housing). Where it can be demonstrated that it would not be possible to provide affordable accommodation on-site, developers will be required to pay a financial contribution of equivalent value towards the provision of affordable housing.

Proposals that result in the loss of specialist accommodation will only be permitted where it can be demonstrated that they are no longer needed, or the accommodation is no longer practical, desirable or viable to retain. It should be demonstrated that all options for reproviding any type of specialist accommodation on the site have been considered."
"Providing Homes for All","Policy HSG7: Custom and Self Build Housing","Policy HSG7: Custom and Self-build Housing

On all sites of 100 dwellings or more, development will provide 5% of residential plots for self-builders or custom house builders. In determining the scale and nature of provision, the council will have regard to evidence about the level of demand, viability considerations and site-specific circumstances.

Where a site is required to provide custom and self-build plots, the plots will be made available in step with the delivery of the conventional market housing and marketed in a fair and open way for at least 12 months. For the first two month of this period, the plots will be prioritised to individuals and associations of individuals on the Council’s self-build register. The plots will be made available at competitive rates which are fairly related to the associated site/plot costs. Where the council agrees that the plots have been appropriately marketed and have not sold within this time period these plots may be built out as conventional market housing by the developer.

Where more than one custom or self-build unit is proposed, a design framework will be required to inform the detailed design of the individual units.

The mix of plots must respond to the types, sizes and build routes identified on the council’s register as well as wider housing requirements, and meet the Plan’s climate change policies to support the council’s climate emergency and ecological emergency declarations.

Plots for custom and self-build housing will also be encouraged as part of smaller development sites."
"Providing Homes for All","Policy: HSG8 Accessible and Adaptable Homes","Policy HSG8:  Accessible and adaptable dwellings

All new dwellings will meet Building Regulations requirement M4(2) ‘accessible and adaptable dwellings’ or M4(3) ‘wheelchair user dwellings’.

For some schemes it may be impractical and/or unviable to provide the step free access required across the whole development. In such cases, robust evidence will be needed to justify that exceptional circumstances apply.

On sites of 30 new dwellings or more, at least 3% of dwellings will meet Building Regulations M4(3)."
"Providing Homes for All","Policy HSG9: Gypsies, Travellers and Travelling Show People","Policy HSG9:  Gypsies, Travellers and Travelling Show People

The council will make provision for additional gypsy and traveller pitches to meet the accommodation needs of Gypsies, Travellers and Travelling Showpeople in the borough, as indicated in the most recent Gypsy and Traveller Accommodation Assessment.

The council will meet the identified need for Gypsies, Travellers and Travelling Showpeople through the provision of plots and/or pitches as part of Greenfield allocations. [The distribution of pitches will be set out in this policy at a later date, once the approach has been finalised].

Offsite pitches in lieu of the pitches required on the strategic allocations will only be acceptable where all of the following criteria are met:

The alternative site provides for at least the same quantity of provision as required by the relevant allocation policy;
The alternative site is considered as sustainable with regards to access to services when compared with the site allocation for which it is a substitute;
The site has potential for successful integration between travelling and settled communities, including through suitable positioning of the pitches;
The site can be developed within the same timeframe (or faster) as the housing allocation site being replaced; and
The site would meet the needs of the travellers it is intended to accommodate.
If planning proposals for accommodation sites for Gypsies, Travellers and Travelling Showpeople are received for sites other than those set out in relevant allocation policies, they will only be permitted where:

There is an identified need for the pitch provision;
There is no adverse impact upon local amenity and the natural and historic environment;
The site is located within a reasonable distance of local services with capacity, including education establishments, health and welfare services, shops and community facilities;
There is safe and reasonable access to the highway, public transport services and sustainable transport options;
Adequate on-site facilities are provided for parking, storage, play and residential amenity and appropriate essential services;
The potential for a mix of uses on the site has been demonstrated, where required; and
The potential for successful integration between travelling and settled communities has been demonstrated, including through suitable positioning of the pitches on mixed use sites.
Planning permission will not be granted for the replacement of lawful Gypsies, Travellers and Travelling Showpeople sites by permanent dwellings or other uses unless it can be clearly demonstrated to the satisfaction of the local planning authority that there is no genuine need or likely future need for Gypsies, Travellers and Travelling Showpeople sites in the locality and other planning policy requirements are met.

In addition to the site allocations within this Local Plan, in the event of any non-allocated housing sites coming forward for development, accommodation for Gypsies, Travellers or Travelling Showpeople should be provided on development sites of 500 homes or more whilst there remains an identified need in the borough. For 500 to 999 homes two pitches or plots should be provided, for 1,000 to 1,499 homes four pitches or plots, for 1,500 to 1,999 homes six pitches or plots and for 2,000 or more homes eight pitches or plots."
"Creating High Quality and Distinctive Places","Policy DES1: Key Design Principles","Policy DES1:  Key Design Principles

Achieving a beautiful and sustainable built environment will be secured by ensuring that new development:

Minimises energy consumption and mitigates carbon and other greenhouse gas emissions and adapts to the impacts of climate change through sustainable approaches to design;
Responds positively and creatively to the context, is visually attractive, utilises high quality architecture, creates a place which has a distinctive character and has regard to the locally distinctive and valued characteristics of the area;
Has due regard to the density, scale, layout, appearance, architectural detailing, materials and history of the surrounding area, and the relationship to neighbouring buildings, landscape features and heritage assets;
Has a strong emphasis on natural features within the streetscene;
Creates and/or contributes to the provision of neighbourhoods and places that prioritise and create a positive environment for walking, cycling and public transport;
Has a high-quality public realm which contributes positively to the sense of place and supports a wide variety of activities;
Provides for a compatible mix of uses, with the goal of providing vitality and a strong sense of community; and
In the case of rural schemes, has a clearly rural character which is locally distinctive and is valued by local communities, whilst allowing for innovation, and avoids having a suburban appearance.
All proposals must be based upon a robust design-led approach, driven by a thorough understanding of the context. Where the existing context for a development lacks design quality or a distinctive character, new development must take the opportunities available to remedy those problems, create delight and enhance the existing character.

Development proposals need to be informed by, and respond positively to, extensive and effective engagement with the local community, which is proportionate to the scale of the development.

The council is supportive of neighbourhood planning making a positive contribution to the design process via suitable policies in neighbourhood plans.

It will not be acceptable to degrade design quality via subsequent applications, amendments and when complying with conditions which propose inferior design solutions, materials and details compared with those originally consented.

The assessment of this policy will be informed by relevant Neighbourhood Plans, Supplementary Planning Documents, Village Design Statements and also community documents which aid understanding of the context."
"Creating High Quality and Distinctive Places","Policy DES2: Site Design","Policy DES2:  Site Design

Achieving beautiful design will be achieved by permitting development proposals where they:

Utilise a site design which minimises the use of energy and other resources and which encourages the use of on-site renewable energy;
Are cohesive in their overall design approach, both in relation to new development having a clearly defined character, and in creating a coherent relationship with their context;
Create attractive and coherent arrangements of buildings, creating well defined streets which are well related to public open spaces and pedestrian and cycle paths;
Provide developments which are walkable, well connected, accessible for all, safe, easy for people to find their way around and function well in practical terms;
Successfully integrate existing and incorporate new, natural features, including street trees, into a multifunctional green network that supports quality of place, biodiversity and water management;
Ensure that boundary treatments which are visible in the street scene respond positively to the design and character of the overall scheme and local context, and do not have a detrimental impact upon the street scene or prevent the provision of suitable soft landscaping;
Ensure that parking provision, cycle storage and other service areas are easily accessible and are incorporated and designed in a manner which is consistent with the overall character of the development, and does not have a detrimental impact on its character or appearance and is in accordance with the adopted parking standards;
Provide appropriate internal and external waste and recycling storage areas in order to promote effective recycling and disposal of household and commercial waste, in accordance with current adopted standards.  Waste and recycling storage areas are to be accessible to residents, will have accessible collection points for refuse vehicles and will not have a detrimental impact on the character or appearance of the development;
Have due regard to Secured by Design principles, which minimise opportunities for crime;
Provide a co-ordinated and comprehensive scheme that does not prejudice the future development or design of adjoining sites; and
Ensure that new elements of the public realm, and those existing parts of the public realm which are related to the proposed development, will be suitably maintained and managed."
"Creating High Quality and Distinctive Places","Policy DES3: Building Design","Policy DES3:  Building Design

New buildings must achieve a high standard of design, which responds positively to the context and the achievement of beautiful and sustainable design.

Development proposals will be permitted where they:

Have a clearly discernible and well-expressed character;
Are of an appropriate scale, massing and appearance which is well related to the character of the local area including valued examples in of the surrounding built form;
Are well proportioned and avoid excessive bulk and massing;
Utilise materials and architectural detailing which are of high quality and reinforce the overall design concept; this will include the use of high quality traditional materials where this is consistent with the design approach of the development;
Utilise external materials which are sustainable, durable and will weather attractively;
Provide a high quality of amenity for the occupants of developments (for both internal and external environments), with buildings that which are accessible, liveable, comfortable and support health and well-being.
Will not have an unacceptable detrimental impact on neighbouring properties in relation to issues such as overlooking, access to natural light, noise, outlook and overbearing impacts and light pollution; and
Residential extensions will be permitted where they:

Respond positively to those features which define the character of the existing building in terms of design, materials and detailing;
Are well related to the scale and proportions of the existing building;
Are well related to the streetscene; and
Do not have an unacceptable detrimental impact on neighbouring properties in relation to issues such as overlooking, access to natural light, noise, outlook and overbearing impacts and light pollution.
Where there are attractive buildings on the site which make a positive contribution to the character of the area these should be retained wherever possible and integrated sympathetically into the new development."
